date	open	high	low	close	volume
2020-01-30	12.0000	12.1800	11.0000	11.2500	322812
2020-01-31	10.9900	11.2000	9.6600	10.1200	107381
2020-02-03	10.0900	10.9099	10.0900	10.6200	39188
2020-02-04	10.6241	10.8931	9.8420	10.6400	31250
2020-02-05	10.6000	10.6000	9.8000	10.0000	44589
2020-02-06	10.1500	10.2500	9.8000	10.0100	23719
2020-02-07	10.0100	10.0100	9.8000	9.8200	18174
2020-02-10	10.4100	10.4100	9.9300	9.9500	4440
2020-02-11	10.5000	10.5000	9.7500	9.9400	9374
2020-02-12	9.7000	9.7000	8.8600	9.6500	9573
2020-02-13	9.9704	9.9704	9.9000	9.9000	6545
2020-02-14	9.9000	9.9000	9.7000	9.7000	2879
2020-02-18	9.5400	9.5900	9.5400	9.5500	1900
2020-02-19	9.5500	9.6100	9.5001	9.6000	5994
2020-02-20	9.4969	9.4969	9.4000	9.4350	7265
2020-02-21	9.6500	9.7500	9.6250	9.6600	3028
2020-02-24	9.4500	9.4500	9.4500	9.4500	2196
2020-02-25	9.4600	10.5599	9.4500	10.4800	21821
2020-02-26	10.4800	10.6000	9.9000	10.0023	22031
2020-02-27	12.0000	12.0000	9.2700	9.8700	62068
2020-02-28	9.8000	10.0000	8.1900	8.5000	8367
2020-03-02	8.7500	9.8400	8.7500	9.8400	7031
2020-03-03	9.8400	9.8400	8.9100	9.2500	2393
2020-03-04	9.2400	9.3900	9.2400	9.3900	1393
2020-03-05	9.3700	9.3900	9.3700	9.3900	1064
2020-03-06	8.5200	8.9683	8.2400	8.9683	2260
2020-03-09	8.5000	8.5000	8.5000	8.5000	984
2020-03-10	8.5000	8.7307	8.5000	8.5000	1900
2020-03-12	8.3400	8.3400	6.5200	7.0700	12244
2020-03-13	6.9406	7.3500	6.9406	7.3500	4808
2020-03-19	5.2200	7.3400	5.2200	7.3000	1210
2020-03-23	6.8400	7.7800	6.8400	7.3500	4282
2020-03-24	8.1000	8.3000	8.1000	8.1973	885
2020-03-25	8.1000	9.5000	7.8500	8.1500	5371
2020-03-26	8.0025	8.0025	8.0025	8.0025	515
2020-03-27	8.0000	8.0000	8.0000	8.0000	479
2020-03-30	8.2288	8.2288	8.2288	8.2288	175
2020-03-31	8.2300	8.2300	7.7000	7.7000	1944
2020-04-01	7.8000	7.8000	7.4483	7.4483	976
2020-04-03	7.1200	7.1200	7.1200	7.1200	161
2020-04-06	7.6000	8.2200	7.6000	8.2200	1050
2020-04-08	8.4233	8.4233	8.4233	8.4233	120
2020-04-09	7.9000	8.4900	7.9000	8.4900	802
2020-04-13	8.3000	8.3000	8.3000	8.3000	727
2020-04-14	8.1000	8.1000	8.0000	8.0000	524
2020-04-15	8.3000	8.3000	8.0954	8.0954	2140
2020-04-16	8.1000	8.2000	8.1000	8.2000	1589
2020-04-17	8.3000	8.4600	8.0000	8.0100	6619
2020-04-20	8.1000	8.3190	8.1000	8.3190	1395
2020-04-21	8.1000	8.1000	7.9000	8.0001	5762
2020-04-22	8.0000	8.0499	8.0000	8.0499	1278
2020-04-23	8.1250	8.1250	8.1250	8.1250	391
2020-04-24	8.0000	8.2000	8.0000	8.2000	922
2020-04-27	8.0000	8.1560	7.3600	7.3600	2770
2020-04-29	7.8000	7.8010	7.5000	7.7000	6353
2020-04-30	7.7600	7.7600	7.1600	7.5000	5274
2020-05-04	7.5000	7.8000	7.5000	7.8000	1240
2020-05-05	7.6200	7.6800	7.6000	7.6100	1410
2020-05-06	7.6000	7.6000	7.5000	7.5000	2362
2020-05-07	7.5000	7.7625	7.5000	7.7625	1498
2020-05-08	7.5200	7.5200	7.5100	7.5100	327
2020-05-11	8.0000	9.4700	7.5100	8.2900	24949
2020-05-12	8.0100	8.2500	8.0000	8.0270	2794
2020-05-13	8.0300	8.1200	8.0000	8.0000	3249
2020-05-14	8.0000	8.0000	8.0000	8.0000	1026
2020-05-18	8.0000	8.0000	7.9200	7.9200	646
2020-05-19	7.6400	7.6400	7.5400	7.5400	768
2020-05-20	7.9000	7.9000	7.9000	7.9000	1018
2020-05-21	7.8000	7.8000	7.7000	7.7300	2618
2020-05-22	7.7000	7.7000	7.7000	7.7000	1205
2020-05-26	7.7000	7.8386	7.6100	7.7000	4723
2020-05-27	7.6914	7.6914	7.6000	7.6000	1532
2020-05-28	7.6500	7.6500	7.6000	7.6000	1211
2020-05-29	7.6000	7.7100	7.5200	7.7000	2342
2020-06-02	7.6100	7.6100	7.6000	7.6000	653
2020-06-04	7.5720	7.5720	7.4999	7.4999	1077
2020-06-05	7.4700	7.4700	7.4000	7.4000	2775
2020-06-08	7.3900	7.5250	7.2000	7.2000	9223
2020-06-09	7.1000	7.2600	7.1000	7.2400	5847
2020-06-11	7.2800	7.2800	6.9200	6.9200	6222
2020-06-12	7.0200	7.0500	7.0200	7.0500	978
2020-06-15	7.0200	7.2500	6.9000	7.0000	1363
2020-06-16	6.9200	6.9200	6.9000	6.9000	1561
2020-06-17	6.8200	7.2000	6.7000	7.2000	9658
2020-06-18	7.1000	7.6900	6.6000	6.8202	9482
2020-06-19	8.7700	9.0000	7.1000	7.4250	128045
2020-06-22	7.5371	7.8750	6.8100	7.0000	9848
2020-06-23	7.0000	7.5700	6.9500	7.0700	12276
2020-06-24	7.0000	7.1000	6.5000	6.8100	16475
2020-06-25	6.6750	6.6750	6.0000	6.2695	4181
2020-06-26	6.2600	6.2600	5.9700	6.0100	4133
2020-06-29	5.9600	5.9600	5.0600	5.0900	2491
2020-06-30	5.1500	5.6440	5.1000	5.1400	4665
2020-07-01	5.3230	5.9300	5.3000	5.8800	4895
2020-07-02	6.5900	6.5900	5.7800	6.1650	3029
2020-07-06	6.2000	6.8200	5.7900	6.7600	5453
2020-07-07	6.7000	6.7000	6.1200	6.1200	566
2020-07-08	6.4000	6.6000	5.9647	6.2500	4704
2020-07-09	5.7000	5.9500	5.4211	5.7600	4018
2020-07-10	5.4500	5.4773	5.3400	5.3400	1722
2020-07-13	5.7002	5.7002	5.2000	5.2000	2643
2020-07-14	5.3000	5.4438	5.0400	5.2150	4069
